"dgp","method","n","b","truth","est","se"
"A","ipw",500,1,0.843045749937839,0.827582283373068,0.0146424379452876
"A","fiml",500,1,0.843045749937839,0.812218220218342,0.023679748421895
"A","ipw",500,2,0.843045749937839,0.831833310240156,0.0144195402582665
"A","fiml",500,2,0.843045749937839,0.809612537757417,0.0154022212754381
"A","ipw",500,3,0.843045749937839,0.870267195383157,0.013521793547968
"A","fiml",500,3,0.843045749937839,0.857638369724459,0.0240199858580579
"A","ipw",500,4,0.843045749937839,0.868577633164583,0.0134532258436065
"A","fiml",500,4,0.843045749937839,0.853915596310334,0.0142708856135136
"A","ipw",500,5,0.843045749937839,0.861530107352448,0.0141003291768144
"A","fiml",500,5,0.843045749937839,0.838776181100515,0.0226723116741097
"A","ipw",500,6,0.843045749937839,0.844275582960316,0.0148123152653944
"A","fiml",500,6,0.843045749937839,0.837468236683761,0.0143893276398655
"A","ipw",500,7,0.843045749937839,0.845982103586913,0.0148103543348159
"A","fiml",500,7,0.843045749937839,0.826482429102388,0.0156571695015204
"A","ipw",500,8,0.843045749937839,0.84960399767269,0.014340621876395
"A","fiml",500,8,0.843045749937839,0.831049996760353,0.0161479174095536
"A","ipw",500,9,0.843045749937839,0.845086747559936,0.0138923317390346
"A","fiml",500,9,0.843045749937839,0.836779297731408,0.0146459518277676
"A","ipw",500,10,0.843045749937839,0.851277681718331,0.0144360802123624
"A","fiml",500,10,0.843045749937839,0.827813477455177,0.0272158475650481
"A","ipw",500,11,0.843045749937839,0.822745922291142,0.0154831879073033
"A","fiml",500,11,0.843045749937839,0.814975765209705,0.0157592775741284
"A","ipw",500,12,0.843045749937839,0.828027162899032,0.0143787926583227
"A","fiml",500,12,0.843045749937839,0.796856220535996,0.0173915125812647
"A","ipw",500,13,0.843045749937839,0.825831285119722,0.0145093514616982
"A","fiml",500,13,0.843045749937839,0.812114324138795,0.0153892428013666
"A","ipw",500,14,0.843045749937839,0.832457102962927,0.0144762017792199
"A","fiml",500,14,0.843045749937839,0.820930876108848,0.0452082409538344
"A","ipw",500,15,0.843045749937839,0.849062183420454,0.0133792619275916
"A","fiml",500,15,0.843045749937839,0.827362582328104,0.0149352727200421
"A","ipw",500,16,0.843045749937839,0.84743679754899,0.01403845170764
"A","fiml",500,16,0.843045749937839,0.824362284578317,0.0269669409801767
"A","ipw",500,17,0.843045749937839,0.857623984299758,0.0142315159512861
"A","fiml",500,17,0.843045749937839,0.842564405193423,0.0481120262856615
"A","ipw",500,18,0.843045749937839,0.838612379359863,0.0141396557012684
"A","fiml",500,18,0.843045749937839,0.823152504827331,0.0151132329954665
"A","ipw",500,19,0.843045749937839,0.848424587742421,0.0141696433651941
"A","fiml",500,19,0.843045749937839,0.831584363898926,0.0151357490046021
"A","ipw",500,20,0.843045749937839,0.851611080806297,0.0137280410830938
"A","fiml",500,20,0.843045749937839,0.846487095680184,0.0131790947957691
"A","ipw",500,21,0.843045749937839,0.85956789283085,0.0144293975524572
"A","fiml",500,21,0.843045749937839,0.840873835971185,0.0145077907666223
"A","ipw",500,22,0.843045749937839,0.838434702159115,0.0141521696017676
"A","fiml",500,22,0.843045749937839,0.811508335542227,0.0173453943033501
"A","ipw",500,23,0.843045749937839,0.833381049762753,0.0152316569877576
"A","fiml",500,23,0.843045749937839,0.82320250983169,0.0154679227127634
"A","ipw",500,24,0.843045749937839,0.817308719201628,0.0153594539121665
"A","fiml",500,24,0.843045749937839,0.803720441903474,0.0211224660685104
"A","ipw",500,25,0.843045749937839,0.837400895412172,0.0144899124069449
"A","fiml",500,25,0.843045749937839,0.819718559900364,0.0209438870114857
"A","ipw",500,26,0.843045749937839,0.860965006407122,0.0126204035839245
"A","fiml",500,26,0.843045749937839,0.84256520648419,0.01384132788406
"A","ipw",500,27,0.843045749937839,0.831965189591985,0.0149624320435606
"A","fiml",500,27,0.843045749937839,0.807123776110043,0.016335484045116
"A","ipw",500,28,0.843045749937839,0.847954668974319,0.0147438815378161
"A","fiml",500,28,0.843045749937839,0.829718953009152,0.0145816579433598
"A","ipw",500,29,0.843045749937839,0.859320209850623,0.0134920754817343
"A","fiml",500,29,0.843045749937839,0.846477792156807,0.0141735444014082
"A","ipw",500,30,0.843045749937839,0.829318564990274,0.014553725974781
"A","fiml",500,30,0.843045749937839,0.816198508896333,0.0149848313217007
"A","ipw",500,31,0.843045749937839,0.835692172027535,0.014599772501207
"A","fiml",500,31,0.843045749937839,0.818820990898754,0.0153228894338593
"A","ipw",500,32,0.843045749937839,0.858770863035073,0.0136459277620198
"A","fiml",500,32,0.843045749937839,0.850867891453405,0.0201403596296972
"A","ipw",500,33,0.843045749937839,0.823017795783004,0.0154109761398407
"A","fiml",500,33,0.843045749937839,0.805249885714057,0.0525738459433748
"A","ipw",500,34,0.843045749937839,0.83191344692165,0.0154303138967459
"A","fiml",500,34,0.843045749937839,0.816521318042463,0.02704746264408
"A","ipw",500,35,0.843045749937839,0.844372302279354,0.01548024894584
"A","fiml",500,35,0.843045749937839,0.824602907456524,0.0159249602744772
"A","ipw",500,36,0.843045749937839,0.863095782435655,0.0133927262651009
"A","fiml",500,36,0.843045749937839,0.860503313952605,0.0375584662198101
"A","ipw",500,37,0.843045749937839,0.858647934520497,0.0136039163613179
"A","fiml",500,37,0.843045749937839,0.840048183192104,0.0151421585790146
"A","ipw",500,38,0.843045749937839,0.842698830828137,0.0144396628334879
"A","fiml",500,38,0.843045749937839,0.814417614356126,0.0176059724700733
"A","ipw",500,39,0.843045749937839,0.852221426640996,0.0144332364531898
"A","fiml",500,39,0.843045749937839,0.84654861109276,0.0170850996402387
"A","ipw",500,40,0.843045749937839,0.864275417517339,0.0129010602943177
"A","fiml",500,40,0.843045749937839,0.834610732206978,0.0153250825388351
"A","ipw",500,41,0.843045749937839,0.847532658674839,0.0145389370938495
"A","fiml",500,41,0.843045749937839,0.835694395096247,0.0204246649408883
"A","ipw",500,42,0.843045749937839,0.854646251092651,0.013940272219206
"A","fiml",500,42,0.843045749937839,0.830413461370961,0.0200321236217012
"A","ipw",500,43,0.843045749937839,0.866051370978678,0.0138561536811809
"A","fiml",500,43,0.843045749937839,0.854421202059656,0.0174340004743196
"A","ipw",500,44,0.843045749937839,0.858274810884807,0.0142435048429429
"A","fiml",500,44,0.843045749937839,0.848999590405343,0.0148269692205557
"A","ipw",500,45,0.843045749937839,0.830919964468552,0.0149214262184845
"A","fiml",500,45,0.843045749937839,0.810860244273629,0.0218087077419772
"A","ipw",500,46,0.843045749937839,0.855750677186326,0.0144445719722846
"A","fiml",500,46,0.843045749937839,0.841978703589042,0.0140883922758674
"A","ipw",500,47,0.843045749937839,0.828482146659859,0.0150558687155683
"A","fiml",500,47,0.843045749937839,0.82365034002966,0.0146225712329951
"A","ipw",500,48,0.843045749937839,0.846327811765975,0.0146764401384047
"A","fiml",500,48,0.843045749937839,0.822117653311493,0.0170533092054234
"A","ipw",500,49,0.843045749937839,0.835097135333635,0.0151591301104221
"A","fiml",500,49,0.843045749937839,0.808814166718379,0.0170807225691002
"A","ipw",500,50,0.843045749937839,0.822448741662178,0.0157853676278292
"A","fiml",500,50,0.843045749937839,0.798011188900179,0.0187156686389976
"A","ipw",2000,1,0.843045749937839,0.844611803291883,0.00710468375923061
"A","fiml",2000,1,0.843045749937839,0.840031961543263,0.00705604253553322
"A","ipw",2000,2,0.843045749937839,0.843643089224275,0.00723308568570457
"A","fiml",2000,2,0.843045749937839,0.834749348315734,0.00774133715585519
"A","ipw",2000,3,0.843045749937839,0.84256377788351,0.00727499518342241
"A","fiml",2000,3,0.843045749937839,0.83807415132472,0.00725665787559438
"A","ipw",2000,4,0.843045749937839,0.84723586554519,0.00703505425097582
"A","fiml",2000,4,0.843045749937839,0.837217587927244,0.00740279106752488
"A","ipw",2000,5,0.843045749937839,0.843782482388998,0.00717236348552169
"A","fiml",2000,5,0.843045749937839,0.834386848526217,0.00757002726684127
"A","ipw",2000,6,0.843045749937839,0.838761288534694,0.00715568748600815
"A","fiml",2000,6,0.843045749937839,0.82810167934004,0.00856599444195936
"A","ipw",2000,7,0.843045749937839,0.823174121010675,0.0076150664635014
"A","fiml",2000,7,0.843045749937839,0.817737442234888,0.00748594171785357
"A","ipw",2000,8,0.843045749937839,0.834586236352202,0.00740392443443589
"A","fiml",2000,8,0.843045749937839,0.825062574260776,0.00765080900941526
"A","ipw",2000,9,0.843045749937839,0.839761509571568,0.00719644991455074
"A","fiml",2000,9,0.843045749937839,0.833382263043583,0.0074363922363025
"A","ipw",2000,10,0.843045749937839,0.843647557279487,0.00699037363414916
"A","fiml",2000,10,0.843045749937839,0.827828285585331,0.00737015126055641
"A","ipw",2000,11,0.843045749937839,0.845065802346345,0.00712550972028864
"A","fiml",2000,11,0.843045749937839,0.830804720496822,0.00756220677719364
"A","ipw",2000,12,0.843045749937839,0.828633320900985,0.00743942721476543
"A","fiml",2000,12,0.843045749937839,0.827801919530009,0.00733807057912601
"A","ipw",2000,13,0.843045749937839,0.851976654071908,0.0071277049736587
"A","fiml",2000,13,0.843045749937839,0.84672890276354,0.00731512276786116
"A","ipw",2000,14,0.843045749937839,0.847735501535613,0.00695979269226898
"A","fiml",2000,14,0.843045749937839,0.838073877025966,0.00851229196582107
"A","ipw",2000,15,0.843045749937839,0.840429603890367,0.00728738991599647
"A","fiml",2000,15,0.843045749937839,0.836082627914007,0.00737799955731692
"A","ipw",2000,16,0.843045749937839,0.850755986117834,0.00712257048758499
"A","fiml",2000,16,0.843045749937839,0.846465284000776,0.00731156755127854
"A","ipw",2000,17,0.843045749937839,0.843637031141523,0.00716986815879592
"A","fiml",2000,17,0.843045749937839,0.838989537918848,0.00766603308129284
"A","ipw",2000,18,0.843045749937839,0.851692165913659,0.00693346136362345
"A","fiml",2000,18,0.843045749937839,0.840046829074316,0.00729199587317154
"A","ipw",2000,19,0.843045749937839,0.851930231980237,0.00709901010303655
"A","fiml",2000,19,0.843045749937839,0.846608789462554,0.00736524644222824
"A","ipw",2000,20,0.843045749937839,0.837365041058385,0.00723053686264572
"A","fiml",2000,20,0.843045749937839,0.830959957272656,0.00743528601717118
"A","ipw",2000,21,0.843045749937839,0.836797311860226,0.00730408349042526
"A","fiml",2000,21,0.843045749937839,0.821461707922782,0.00781917878824717
"A","ipw",2000,22,0.843045749937839,0.854713582443094,0.006853139683528
"A","fiml",2000,22,0.843045749937839,0.845379042149868,0.00698176116208922
"A","ipw",2000,23,0.843045749937839,0.850470841745954,0.0067133520090635
"A","fiml",2000,23,0.843045749937839,0.841433108202704,0.00709455073050929
"A","ipw",2000,24,0.843045749937839,0.846476366793129,0.00713522210412776
"A","fiml",2000,24,0.843045749937839,0.841582540156665,0.00739076584528572
"A","ipw",2000,25,0.843045749937839,0.834001296317751,0.00751100478376251
"A","fiml",2000,25,0.843045749937839,0.829346527158459,0.00749332833648234
"A","ipw",2000,26,0.843045749937839,0.848230772208317,0.0069740386071783
"A","fiml",2000,26,0.843045749937839,0.839834034425465,0.00711000389745123
"A","ipw",2000,27,0.843045749937839,0.840574841289839,0.00727811786357878
"A","fiml",2000,27,0.843045749937839,0.833288857661493,0.00721251698834114
"A","ipw",2000,28,0.843045749937839,0.841863125484552,0.00713801854748862
"A","fiml",2000,28,0.843045749937839,0.829132102771342,0.00769344641187917
"A","ipw",2000,29,0.843045749937839,0.838721216299954,0.00726374241852476
"A","fiml",2000,29,0.843045749937839,0.832949137799087,0.00731649235330727
"A","ipw",2000,30,0.843045749937839,0.84681047342196,0.0070421149223536
"A","fiml",2000,30,0.843045749937839,0.837268460625389,0.0078351047459912
"A","ipw",2000,31,0.843045749937839,0.835540924636109,0.00738408475867898
"A","fiml",2000,31,0.843045749937839,0.825564484186336,0.00761938055452752
"A","ipw",2000,32,0.843045749937839,0.841075438166635,0.00723012583322392
"A","fiml",2000,32,0.843045749937839,0.832015926935228,0.00744489520608148
"A","ipw",2000,33,0.843045749937839,0.837558926764238,0.00706574314555102
"A","fiml",2000,33,0.843045749937839,0.831034078446533,0.00722187530666983
"A","ipw",2000,34,0.843045749937839,0.837264639289387,0.00721961607548209
"A","fiml",2000,34,0.843045749937839,0.827826599663073,0.00751005060060945
"A","ipw",2000,35,0.843045749937839,0.847927759635163,0.00715241427382893
"A","fiml",2000,35,0.843045749937839,0.832785896407844,0.00747692106932526
"A","ipw",2000,36,0.843045749937839,0.84423229449099,0.00722861765026637
"A","fiml",2000,36,0.843045749937839,0.83351240341661,0.00735591240331839
"A","ipw",2000,37,0.843045749937839,0.838119361327635,0.00721188441188676
"A","fiml",2000,37,0.843045749937839,0.829748635536857,0.00765012144692142
"A","ipw",2000,38,0.843045749937839,0.839815827695707,0.00709695516905764
"A","fiml",2000,38,0.843045749937839,0.830149347592321,0.00798895201308348
"A","ipw",2000,39,0.843045749937839,0.84109532779654,0.007224237537206
"A","fiml",2000,39,0.843045749937839,0.831721951485102,0.00767258136488404
"A","ipw",2000,40,0.843045749937839,0.84037201515761,0.0069881039988544
"A","fiml",2000,40,0.843045749937839,0.830430416964873,0.00729908177983469
"A","ipw",2000,41,0.843045749937839,0.860184221914028,0.00676529496341494
"A","fiml",2000,41,0.843045749937839,0.849787124059613,0.00757002397121175
"A","ipw",2000,42,0.843045749937839,0.837522543460272,0.00734791346864616
"A","fiml",2000,42,0.843045749937839,0.826631529667118,0.00792673405346623
"A","ipw",2000,43,0.843045749937839,0.841791129459828,0.00725900538131806
"A","fiml",2000,43,0.843045749937839,0.835193943177513,0.00732869012659918
"A","ipw",2000,44,0.843045749937839,0.845190632148436,0.00698769391846454
"A","fiml",2000,44,0.843045749937839,0.830359078730304,0.00746686531845617
"A","ipw",2000,45,0.843045749937839,0.849011734600741,0.00716030016528685
"A","fiml",2000,45,0.843045749937839,0.840873908072503,0.00729086660276304
"A","ipw",2000,46,0.843045749937839,0.835789142073036,0.00721358287746264
"A","fiml",2000,46,0.843045749937839,0.826093451006285,0.00752526629107515
"A","ipw",2000,47,0.843045749937839,0.850656276525147,0.00690442426166777
"A","fiml",2000,47,0.843045749937839,0.842126140104458,0.00735257069144605
"A","ipw",2000,48,0.843045749937839,0.844251197687016,0.00710876906833405
"A","fiml",2000,48,0.843045749937839,0.83458843044627,0.0071570363470425
"A","ipw",2000,49,0.843045749937839,0.848662681308982,0.00713257929572495
"A","fiml",2000,49,0.843045749937839,0.836081991177523,0.00739692112563601
"A","ipw",2000,50,0.843045749937839,0.846824877113829,0.0071886691521628
"A","fiml",2000,50,0.843045749937839,0.841252961621108,0.00708758012813239
"A","ipw",8000,1,0.843045749937839,0.840599572323278,0.00367757221894595
"A","fiml",8000,1,0.843045749937839,0.837178248310143,0.00393485037629942
"A","ipw",8000,2,0.843045749937839,0.842784724187588,0.00353901908634313
"A","fiml",8000,2,0.843045749937839,0.839433212826044,0.00378526224117393
"A","ipw",8000,3,0.843045749937839,0.842113722488987,0.00364890672370524
"A","fiml",8000,3,0.843045749937839,0.840269325002813,0.00365017697711774
"A","ipw",8000,4,0.843045749937839,0.838181551315413,0.00358368814056142
"A","fiml",8000,4,0.843045749937839,0.835306160463636,0.00358077531241827
"A","ipw",8000,5,0.843045749937839,0.843464197647674,0.00361385810270059
"A","fiml",8000,5,0.843045749937839,0.840351586935997,0.00363370597955694
"A","ipw",8000,6,0.843045749937839,0.84085952817092,0.00362484160091053
"A","fiml",8000,6,0.843045749937839,0.837418978013874,0.003905804197068
"A","ipw",8000,7,0.843045749937839,0.83991158918435,0.00356303229482725
"A","fiml",8000,7,0.843045749937839,0.839152840974869,0.00357633506312688
"A","ipw",8000,8,0.843045749937839,0.843973726371997,0.00361006949095937
"A","fiml",8000,8,0.843045749937839,0.843575671371965,0.00355044957838143
"A","ipw",8000,9,0.843045749937839,0.846493752936225,0.00355452210653883
"A","fiml",8000,9,0.843045749937839,0.845508528342671,0.00360224279973818
"A","ipw",8000,10,0.843045749937839,0.844616106488135,0.00351654960807837
"A","fiml",8000,10,0.843045749937839,0.841011563208485,0.00354723258306129
"A","ipw",8000,11,0.843045749937839,0.841342489861272,0.00359827507402589
"A","fiml",8000,11,0.843045749937839,0.839006660564275,0.00362621954410495
"A","ipw",8000,12,0.843045749937839,0.845955166253242,0.00353628301070558
"A","fiml",8000,12,0.843045749937839,0.844674367751924,0.00361584463480867
"A","ipw",8000,13,0.843045749937839,0.842535658662674,0.00357772922596883
"A","fiml",8000,13,0.843045749937839,0.84021608133501,0.00347275303015041
"A","ipw",8000,14,0.843045749937839,0.841378920967765,0.0035974343045729
"A","fiml",8000,14,0.843045749937839,0.839664977705167,0.00366166963317406
"A","ipw",8000,15,0.843045749937839,0.843204620252854,0.00362411138681944
"A","fiml",8000,15,0.843045749937839,0.843536873792473,0.00364713775292784
"A","ipw",8000,16,0.843045749937839,0.845766004176336,0.00355817130802572
"A","fiml",8000,16,0.843045749937839,0.844007365317244,0.0035925807759847
"A","ipw",8000,17,0.843045749937839,0.842023323556044,0.00362018911414556
"A","fiml",8000,17,0.843045749937839,0.842948427341697,0.00369323873152368
"A","ipw",8000,18,0.843045749937839,0.838769689386525,0.00358957071477811
"A","fiml",8000,18,0.843045749937839,0.835944281414561,0.0038341144348681
"A","ipw",8000,19,0.843045749937839,0.843888496000363,0.00354225155304609
"A","fiml",8000,19,0.843045749937839,0.841627454643389,0.00376299229381557
"A","ipw",8000,20,0.843045749937839,0.841630880644015,0.00357519464157485
"A","fiml",8000,20,0.843045749937839,0.839299108261654,0.00358327271106308
"A","ipw",8000,21,0.843045749937839,0.846362458882295,0.00356224728138674
"A","fiml",8000,21,0.843045749937839,0.84316441685577,0.00363687533394256
"A","ipw",8000,22,0.843045749937839,0.842204305014462,0.0035329988899086
"A","fiml",8000,22,0.843045749937839,0.839984188438781,0.00348579376166555
"A","ipw",8000,23,0.843045749937839,0.848628270280296,0.00346728248708052
"A","fiml",8000,23,0.843045749937839,0.847281632615255,0.00343710732890483
"A","ipw",8000,24,0.843045749937839,0.847762780820634,0.00354190620857503
"A","fiml",8000,24,0.843045749937839,0.845027308672907,0.00355052521712425
"A","ipw",8000,25,0.843045749937839,0.838398924333119,0.00367319593825604
"A","fiml",8000,25,0.843045749937839,0.839910840659065,0.00379822872487374
"A","ipw",8000,26,0.843045749937839,0.836746763812173,0.00367695413388388
"A","fiml",8000,26,0.843045749937839,0.835080435109996,0.00390918790341633
"A","ipw",8000,27,0.843045749937839,0.841885661074055,0.00361682581901374
"A","fiml",8000,27,0.843045749937839,0.840425335876863,0.00359091808336098
"A","ipw",8000,28,0.843045749937839,0.843544841305633,0.00360881552337893
"A","fiml",8000,28,0.843045749937839,0.842236803631678,0.00357801571351918
"A","ipw",8000,29,0.843045749937839,0.840253970542185,0.00356283292149628
"A","fiml",8000,29,0.843045749937839,0.837816102871124,0.00366505280747378
"A","ipw",8000,30,0.843045749937839,0.85071210605497,0.0035387887533853
"A","fiml",8000,30,0.843045749937839,0.847862703931256,0.00366052806597169
"A","ipw",8000,31,0.843045749937839,0.841732217764934,0.00358457818590023
"A","fiml",8000,31,0.843045749937839,0.83947598304563,0.00363534418286758
"A","ipw",8000,32,0.843045749937839,0.845903250472177,0.00351966053102806
"A","fiml",8000,32,0.843045749937839,0.846474228316485,0.00346183998976244
"A","ipw",8000,33,0.843045749937839,0.850299671491812,0.00348588234660131
"A","fiml",8000,33,0.843045749937839,0.848113201294533,0.00365517246824059
"A","ipw",8000,34,0.843045749937839,0.842105393357133,0.00366469461256235
"A","fiml",8000,34,0.843045749937839,0.841432608541993,0.00370652198081979
"A","ipw",8000,35,0.843045749937839,0.841702029015568,0.00353002804330159
"A","fiml",8000,35,0.843045749937839,0.836969777737808,0.00364072007704907
"A","ipw",8000,36,0.843045749937839,0.844615814014369,0.00353938938765181
"A","fiml",8000,36,0.843045749937839,0.842388072860992,0.00431090504037644
"A","ipw",8000,37,0.843045749937839,0.845280867662988,0.00355366519212973
"A","fiml",8000,37,0.843045749937839,0.844183242604316,0.00364649470759396
"A","ipw",8000,38,0.843045749937839,0.84437808263641,0.00350935643027316
"A","fiml",8000,38,0.843045749937839,0.843969757176938,0.00371449708496031
"A","ipw",8000,39,0.843045749937839,0.846078892023584,0.00358996971538775
"A","fiml",8000,39,0.843045749937839,0.844041402596901,0.00355428765041191
"A","ipw",8000,40,0.843045749937839,0.841585971860749,0.00361153409503436
"A","fiml",8000,40,0.843045749937839,0.838379251923955,0.00405653022505484
"A","ipw",8000,41,0.843045749937839,0.837487747150176,0.00364465875949292
"A","fiml",8000,41,0.843045749937839,0.837170347576577,0.00357646749288981
"A","ipw",8000,42,0.843045749937839,0.842211612937984,0.00357377499569444
"A","fiml",8000,42,0.843045749937839,0.839774372952525,0.00385295261265365
"A","ipw",8000,43,0.843045749937839,0.84682903727483,0.00353238752996681
"A","fiml",8000,43,0.843045749937839,0.84348867923079,0.0039480589096954
"A","ipw",8000,44,0.843045749937839,0.845592869695791,0.00358609959847938
"A","fiml",8000,44,0.843045749937839,0.841307563482295,0.00385174000320806
"A","ipw",8000,45,0.843045749937839,0.839587055053358,0.00364748875210263
"A","fiml",8000,45,0.843045749937839,0.839044029549352,0.00372945795662437
"A","ipw",8000,46,0.843045749937839,0.847977251860079,0.0034785251811196
"A","fiml",8000,46,0.843045749937839,0.84388469799193,0.00361770694457077
"A","ipw",8000,47,0.843045749937839,0.844616403517225,0.0035214367259947
"A","fiml",8000,47,0.843045749937839,0.842871716629649,0.00349540493101489
"A","ipw",8000,48,0.843045749937839,0.837118353926378,0.00364672912451352
"A","fiml",8000,48,0.843045749937839,0.835345589970292,0.00369363632246526
"A","ipw",8000,49,0.843045749937839,0.844802259386988,0.00352715481507941
"A","fiml",8000,49,0.843045749937839,0.84362580183265,0.0035219306642029
