"target","R","n","coefficient","method","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","sd_estimate","mean_se","mean_skew_if"
0.5,2,10,"Brennan-Prediger","arcsine",300,300,0.793333333333333,0.00333333333333333,0.203333333333333,1.03562508020873,1.11483827071969,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,10,"Brennan-Prediger","basic",300,300,0.793333333333333,0.00333333333333333,0.203333333333333,1.17572613423538,1.18863611721397,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,10,"Brennan-Prediger","cf_if",300,298,0.748322147651007,0.00335570469798658,0.248322147651007,1.02550192374612,1.0520006011848,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,10,"Brennan-Prediger","cf_student_minus",300,298,0.778523489932886,0.023489932885906,0.197986577181208,1.02550192374612,1.0520006011848,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,10,"Brennan-Prediger","cf_student_plus",300,298,0.687919463087248,0.00335570469798658,0.308724832214765,1.02550192374612,1.0520006011848,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,10,"Brennan-Prediger","fisher",300,300,0.906666666666667,0,0.0933333333333333,1.0405240978916,1.10617168508556,0.499833333333333,-0.000166666666666648,0.310342844543612,0.259868357860038,-1.70912322705827
0.5,2,20,"Brennan-Prediger","arcsine",300,300,0.92,0.00666666666666667,0.0733333333333333,0.792423262288945,0.805452726580802,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,20,"Brennan-Prediger","basic",300,300,0.883333333333333,0.00333333333333333,0.113333333333333,0.83050027150112,0.84534596087142,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,20,"Brennan-Prediger","cf_if",300,300,0.86,0.00666666666666667,0.133333333333333,0.777702777884744,0.791604680459716,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,20,"Brennan-Prediger","cf_student_minus",300,300,0.906666666666667,0.02,0.0733333333333333,0.777702777884744,0.791604680459716,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,20,"Brennan-Prediger","cf_student_plus",300,300,0.806666666666667,0.00333333333333333,0.19,0.777702777884744,0.791604680459716,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,20,"Brennan-Prediger","fisher",300,300,0.94,0.00666666666666667,0.0533333333333333,0.797442229764632,0.85967704634572,0.490458333333333,-0.00954166666666667,0.211599504405779,0.198397211382241,-1.99616863155571
0.5,2,40,"Brennan-Prediger","arcsine",300,300,0.926666666666667,0.01,0.0633333333333333,0.59176808544519,0.593876600071461,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,2,40,"Brennan-Prediger","basic",300,300,0.906666666666667,0.01,0.0833333333333333,0.605219112710007,0.606477523812592,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,2,40,"Brennan-Prediger","cf_if",300,300,0.876666666666667,0.00666666666666667,0.116666666666667,0.586450283588233,0.587669669315621,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,2,40,"Brennan-Prediger","cf_student_minus",300,300,0.913333333333333,0.0366666666666667,0.05,0.586450283588233,0.587669669315621,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,2,40,"Brennan-Prediger","cf_student_plus",300,300,0.853333333333333,0,0.146666666666667,0.586450283588233,0.587669669315621,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,2,40,"Brennan-Prediger","fisher",300,300,0.936666666666667,0.0133333333333333,0.05,0.59521265401045,0.603342013133479,0.4958125,-0.00418750000000001,0.159769447611395,0.149607413251998,-2.32817207992626
0.5,5,10,"Brennan-Prediger","arcsine",300,300,0.966666666666667,0.00666666666666667,0.0266666666666667,0.71329406155572,0.715147079537872,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,10,"Brennan-Prediger","basic",300,300,0.943333333333333,0.00333333333333333,0.0533333333333333,0.738845895013403,0.740056241790912,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,10,"Brennan-Prediger","cf_if",300,300,0.903333333333333,0.01,0.0866666666666667,0.640146214492132,0.641194875536437,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,10,"Brennan-Prediger","cf_student_minus",300,300,0.946666666666667,0.02,0.0333333333333333,0.640146214492132,0.641194875536437,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,10,"Brennan-Prediger","cf_student_plus",300,300,0.86,0.01,0.13,0.640146214492132,0.641194875536437,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,10,"Brennan-Prediger","fisher",300,300,0.97,0.01,0.02,0.721664044956702,0.731462089985766,0.49595,-0.00405,0.164425667604617,0.163305606516631,-0.859957153349384
0.5,5,20,"Brennan-Prediger","arcsine",300,300,0.963333333333333,0.0166666666666667,0.02,0.495942361245174,0.495263483774001,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,20,"Brennan-Prediger","basic",300,300,0.953333333333333,0.01,0.0366666666666667,0.503510394917301,0.502565116289607,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,20,"Brennan-Prediger","cf_if",300,300,0.916666666666667,0.0133333333333333,0.07,0.471500668041023,0.470615483725185,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,20,"Brennan-Prediger","cf_student_minus",300,300,0.963333333333333,0.0233333333333333,0.0133333333333333,0.471500668041023,0.470615483725185,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,20,"Brennan-Prediger","cf_student_plus",300,300,0.873333333333333,0.0133333333333333,0.113333333333333,0.471500668041023,0.470615483725185,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,20,"Brennan-Prediger","fisher",300,300,0.966666666666667,0.02,0.0133333333333333,0.498538070825719,0.497956468671087,0.492433333333333,-0.00756666666666667,0.131347514075199,0.120282992891747,-1.00663346415865
0.5,5,40,"Brennan-Prediger","arcsine",300,300,0.97,0.02,0.01,0.347807664473893,0.347195078346033,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,5,40,"Brennan-Prediger","basic",300,300,0.97,0.0133333333333333,0.0166666666666667,0.350259179762908,0.349552521781901,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,5,40,"Brennan-Prediger","cf_if",300,300,0.95,0.0133333333333333,0.0366666666666667,0.33939707287427,0.338712329506689,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,5,40,"Brennan-Prediger","cf_student_minus",300,300,0.96,0.03,0.01,0.33939707287427,0.338712329506689,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,5,40,"Brennan-Prediger","cf_student_plus",300,300,0.92,0.0133333333333333,0.0666666666666667,0.33939707287427,0.338712329506689,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,5,40,"Brennan-Prediger","fisher",300,300,0.97,0.0233333333333333,0.00666666666666667,0.348552701937626,0.348179099372739,0.494904166666667,-0.00509583333333335,0.0847547501118805,0.0865824769106449,-1.05655611679956
0.5,2,10,"Conger","arcsine",300,300,0.843333333333333,0.04,0.116666666666667,0.952091682150151,1.02527580206576,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,10,"Conger","basic",300,300,0.82,0.0333333333333333,0.146666666666667,1.03342127771824,1.09521610542592,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,10,"Conger","cf_if",300,298,0.768456375838926,0.0503355704697987,0.181208053691275,0.901379562366743,0.95102460063837,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,10,"Conger","cf_student_minus",300,298,0.812080536912752,0.0570469798657718,0.130872483221477,0.901379562366743,0.95102460063837,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,10,"Conger","cf_student_plus",300,298,0.721476510067114,0.0503355704697987,0.228187919463087,0.901379562366743,0.95102460063837,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,10,"Conger","fisher",300,300,0.863333333333333,0.0466666666666667,0.09,0.973430876170808,1.03823152490125,0.474008085676243,-0.025991914323757,0.294505807054978,0.228415004649796,-0.887637570751621
0.5,2,20,"Conger","arcsine",300,300,0.926666666666667,0.02,0.0533333333333333,0.758905132909065,0.779005986385678,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,20,"Conger","basic",300,300,0.896666666666667,0.02,0.0833333333333333,0.789308945023831,0.807661634652921,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,20,"Conger","cf_if",300,300,0.87,0.02,0.11,0.739130112558286,0.756316064442928,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,20,"Conger","cf_student_minus",300,300,0.916666666666667,0.0233333333333333,0.06,0.739130112558286,0.756316064442928,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,20,"Conger","cf_student_plus",300,300,0.836666666666667,0.02,0.143333333333333,0.739130112558286,0.756316064442928,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,20,"Conger","fisher",300,300,0.94,0.0233333333333333,0.0366666666666667,0.766610255766191,0.786766375000982,0.477110641108413,-0.0228893588915869,0.21366542289956,0.188557064922736,-1.10299927058869
0.5,2,40,"Conger","arcsine",300,300,0.933333333333333,0.0166666666666667,0.05,0.574514981292287,0.587934973594137,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,2,40,"Conger","basic",300,300,0.923333333333333,0.0166666666666667,0.06,0.586128228741084,0.599929945757401,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,2,40,"Conger","cf_if",300,300,0.91,0.0166666666666667,0.0733333333333333,0.567951438984015,0.581325142306074,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,2,40,"Conger","cf_student_minus",300,300,0.94,0.0166666666666667,0.0433333333333333,0.567951438984015,0.581325142306074,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,2,40,"Conger","cf_student_plus",300,300,0.876666666666667,0.01,0.113333333333333,0.567951438984015,0.581325142306074,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,2,40,"Conger","fisher",300,300,0.943333333333333,0.02,0.0366666666666667,0.57796558367102,0.589078612203962,0.483356100559628,-0.0166438994403718,0.151507402079616,0.144888233524683,-1.41422258828478
0.5,5,10,"Conger","arcsine",300,300,0.913333333333333,0.0666666666666667,0.02,0.644289384809799,0.643584054091219,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,10,"Conger","basic",300,300,0.903333333333333,0.0566666666666667,0.04,0.663302036071421,0.660137844533792,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,10,"Conger","cf_if",300,300,0.86,0.09,0.05,0.574693979247649,0.571952480312064,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,10,"Conger","cf_student_minus",300,300,0.88,0.0766666666666667,0.0433333333333333,0.574693979247649,0.571952480312064,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,10,"Conger","cf_student_plus",300,300,0.826666666666667,0.106666666666667,0.0666666666666667,0.574693979247649,0.571952480312064,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,10,"Conger","fisher",300,300,0.91,0.08,0.01,0.653616359820109,0.658824837356772,0.478744014636668,-0.0212559853633322,0.161691011505638,0.146608300912864,0.172219362145848
0.5,5,20,"Conger","arcsine",300,300,0.936666666666667,0.04,0.0233333333333333,0.457841857498427,0.459431588034099,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","basic",300,300,0.936666666666667,0.0333333333333333,0.03,0.463747808454275,0.465798230281471,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_if",300,300,0.903333333333333,0.0533333333333333,0.0433333333333333,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_student_minus",300,300,0.94,0.0366666666666667,0.0233333333333333,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","cf_student_plus",300,300,0.883333333333333,0.07,0.0466666666666667,0.434265913268115,0.436185983381956,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,20,"Conger","fisher",300,300,0.943333333333333,0.05,0.00666666666666667,0.460660749152664,0.463435487827599,0.486005134901831,-0.0139948650981687,0.122641619648288,0.110784156416534,0.173688709060092
0.5,5,40,"Conger","arcsine",300,300,0.953333333333333,0.0433333333333333,0.00333333333333333,0.329296591346046,0.328924564921941,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","basic",300,300,0.953333333333333,0.0366666666666667,0.01,0.331359113681125,0.330847797923504,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_if",300,300,0.94,0.05,0.01,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_student_minus",300,300,0.966666666666667,0.0266666666666667,0.00666666666666667,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","cf_student_plus",300,300,0.936666666666667,0.0533333333333333,0.01,0.321083128584131,0.32058766955985,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,5,40,"Conger","fisher",300,300,0.946666666666667,0.05,0.00333333333333333,0.329988346779864,0.329085969786457,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,2,10,"Fleiss","arcsine",300,300,0.856666666666667,0.0333333333333333,0.11,1.03678818446562,1.12656902159013,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","basic",300,300,0.826666666666667,0.03,0.143333333333333,1.14358443451951,1.21205634943183,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_if",300,298,0.785234899328859,0.0402684563758389,0.174496644295302,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_student_minus",300,298,0.828859060402685,0.0436241610738255,0.12751677852349,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_student_plus",300,298,0.741610738255034,0.0436241610738255,0.214765100671141,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","fisher",300,300,0.876666666666667,0.0333333333333333,0.09,1.04947096541393,1.1347934728881,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,20,"Fleiss","arcsine",300,300,0.926666666666667,0.02,0.0533333333333333,0.78649517558829,0.817758316539743,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","basic",300,300,0.896666666666667,0.02,0.0833333333333333,0.820227556483176,0.852791339953975,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_if",300,300,0.88,0.02,0.1,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_student_minus",300,300,0.923333333333333,0.0233333333333333,0.0533333333333333,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_student_plus",300,300,0.843333333333333,0.0233333333333333,0.133333333333333,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","fisher",300,300,0.943333333333333,0.02,0.0366666666666667,0.79315209260072,0.831446010757534,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,40,"Fleiss","arcsine",300,300,0.936666666666667,0.0166666666666667,0.0466666666666667,0.585289976260634,0.601584298117836,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","basic",300,300,0.93,0.0133333333333333,0.0566666666666667,0.597521407642558,0.614219831983307,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_if",300,300,0.91,0.0166666666666667,0.0733333333333333,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_student_minus",300,300,0.94,0.0166666666666667,0.0433333333333333,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_student_plus",300,300,0.88,0.0133333333333333,0.106666666666667,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","fisher",300,300,0.943333333333333,0.02,0.0366666666666667,0.588552717614944,0.601428526657843,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,5,10,"Fleiss","arcsine",300,300,0.916666666666667,0.0666666666666667,0.0166666666666667,0.662585974850913,0.663352096016068,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","basic",300,300,0.896666666666667,0.0633333333333333,0.04,0.683150793380342,0.680166715197399,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_if",300,300,0.86,0.09,0.05,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_student_minus",300,300,0.883333333333333,0.0766666666666667,0.04,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_student_plus",300,300,0.84,0.1,0.06,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","fisher",300,300,0.913333333333333,0.0766666666666667,0.01,0.671601875267918,0.672819790508892,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,20,"Fleiss","arcsine",300,300,0.933333333333333,0.0433333333333333,0.0233333333333333,0.464340274388813,0.467915369806518,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","basic",300,300,0.936666666666667,0.0333333333333333,0.03,0.470482928680348,0.473686280813916,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_if",300,300,0.906666666666667,0.05,0.0433333333333333,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_student_minus",300,300,0.94,0.0366666666666667,0.0233333333333333,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_student_plus",300,300,0.883333333333333,0.07,0.0466666666666667,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","fisher",300,300,0.943333333333333,0.05,0.00666666666666667,0.467123083381538,0.470029663949023,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,40,"Fleiss","arcsine",300,300,0.95,0.0466666666666667,0.00333333333333333,0.331645627566541,0.332009347737689,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","basic",300,300,0.956666666666667,0.0366666666666667,0.00666666666666667,0.333749352945414,0.33396951479918,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_if",300,300,0.94,0.05,0.01,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_student_minus",300,300,0.966666666666667,0.0266666666666667,0.00666666666666667,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_student_plus",300,300,0.933333333333333,0.0566666666666667,0.01,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","fisher",300,300,0.946666666666667,0.05,0.00333333333333333,0.332330560402621,0.332446758052705,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
