"","V1","V2","V3","V4","V5"
"1","0.0e+00","0.0e+00","0.0e+00","0.0e+00","0.0e+00"
"2","3.8e-03","3.8e-03","3.8e-03","0.0e+00","1.2e-02"
"3","7.5e-02","7.5e-02","7.5e-02","0.0e+00","1.7e-01"
"4","5.2e-05","4.9e-05","4.3e-05","5.5e-05","1.7e-05"
"5","3.8e-03","3.8e-03","3.8e-03","5.7e-04","1.2e-02"
"6","7.4e-02","7.4e-02","7.4e-02","2.0e-03","1.7e-01"
"7","7.3e-04","8.0e-04","6.9e-04","8.7e-04","2.7e-04"
"8","3.5e-03","4.2e-03","3.9e-03","2.4e-03","1.2e-02"
"9","7.3e-02","7.4e-02","7.4e-02","7.9e-03","1.7e-01"
"10","0.0e+00","0.0e+00","0.0e+00","1.1e-02","2.5e-02"
"11","2.1e-02","2.1e-02","2.1e-02","1.1e-02","8.2e-02"
"12","3.4e-01","3.4e-01","3.4e-01","1.8e-02","4.7e-01"
"13","1.4e-04","4.6e-04","3.6e-04","1.3e-02","3.0e-02"
"14","2.2e-02","2.2e-02","2.2e-02","1.4e-02","9.1e-02"
"15","3.2e-01","3.3e-01","3.3e-01","1.8e-02","4.6e-01"
"16","1.1e-03","3.5e-03","2.8e-03","3.0e-02","7.4e-02"
"17","2.5e-02","2.7e-02","2.6e-02","3.0e-02","1.3e-01"
"18","3.2e-01","3.2e-01","3.2e-01","3.4e-02","4.7e-01"
"19","0.0e+00","0.0e+00","0.0e+00","0.0e+00","0.0e+00"
"20","3.8e-03","3.8e-03","3.8e-03","0.0e+00","1.2e-02"
"21","7.4e-02","7.4e-02","7.4e-02","0.0e+00","1.7e-01"
"22","4.6e-05","4.0e-05","3.4e-05","4.5e-05","8.7e-06"
"23","3.5e-03","3.6e-03","3.6e-03","5.6e-04","1.1e-02"
"24","7.8e-02","7.8e-02","7.8e-02","2.4e-03","1.7e-01"
"25","6.3e-04","5.8e-04","4.6e-04","6.2e-04","1.2e-04"
"26","3.6e-03","4.3e-03","4.0e-03","2.2e-03","1.1e-02"
"27","8.2e-02","8.4e-02","8.3e-02","8.6e-03","1.8e-01"
"28","0.0e+00","0.0e+00","0.0e+00","1.0e-02","2.3e-02"
"29","2.2e-02","2.2e-02","2.2e-02","1.2e-02","8.4e-02"
"30","3.2e-01","3.2e-01","3.2e-01","1.8e-02","4.5e-01"
"31","7.5e-05","3.9e-04","2.9e-04","1.3e-02","3.0e-02"
"32","2.3e-02","2.3e-02","2.3e-02","1.4e-02","9.1e-02"
"33","3.3e-01","3.3e-01","3.3e-01","2.1e-02","4.6e-01"
"34","6.2e-04","3.3e-03","2.4e-03","3.0e-02","7.1e-02"
"35","2.4e-02","2.7e-02","2.6e-02","3.1e-02","1.3e-01"
"36","3.5e-01","3.5e-01","3.5e-01","3.6e-02","4.8e-01"
"37","0.0e+00","0.0e+00","0.0e+00","0.0e+00","0.0e+00"
"38","3.9e-03","3.9e-03","3.9e-03","0.0e+00","1.2e-02"
"39","8.3e-02","8.3e-02","8.3e-02","0.0e+00","1.8e-01"
"40","3.9e-05","3.0e-05","2.5e-05","3.5e-05","2.9e-06"
"41","4.0e-03","4.0e-03","4.0e-03","6.1e-04","1.2e-02"
"42","7.9e-02","7.9e-02","7.9e-02","2.3e-03","1.7e-01"
"43","6.1e-04","5.0e-04","3.9e-04","5.5e-04","4.7e-05"
"44","3.7e-03","4.3e-03","4.1e-03","2.4e-03","1.2e-02"
"45","8.0e-02","8.1e-02","8.1e-02","8.4e-03","1.8e-01"
"46","0.0e+00","0.0e+00","0.0e+00","1.1e-02","2.2e-02"
"47","2.2e-02","2.2e-02","2.2e-02","1.2e-02","8.3e-02"
"48","3.3e-01","3.3e-01","3.3e-01","1.8e-02","4.6e-01"
"49","2.8e-05","3.4e-04","2.4e-04","1.4e-02","3.1e-02"
"50","2.3e-02","2.3e-02","2.3e-02","1.4e-02","9.0e-02"
"51","3.4e-01","3.4e-01","3.4e-01","2.2e-02","4.7e-01"
"52","2.3e-04","2.8e-03","1.9e-03","3.1e-02","7.1e-02"
"53","2.4e-02","2.7e-02","2.6e-02","3.1e-02","1.3e-01"
"54","3.4e-01","3.5e-01","3.4e-01","3.7e-02","4.7e-01"
"55","0.0e+00","0.0e+00","0.0e+00","0.0e+00","0.0e+00"
"56","3.9e-03","4.0e-03","3.9e-03","0.0e+00","1.2e-02"
"57","7.7e-02","7.8e-02","7.7e-02","0.0e+00","1.7e-01"
"58","5.5e-05","4.4e-05","2.8e-05","4.4e-05","0.0e+00"
"59","3.7e-03","3.8e-03","3.8e-03","7.3e-04","1.2e-02"
"60","7.5e-02","7.6e-02","7.5e-02","2.5e-03","1.7e-01"
"61","8.3e-04","5.9e-04","4.0e-04","6.3e-04","0.0e+00"
"62","3.6e-03","4.5e-03","4.1e-03","2.8e-03","1.2e-02"
"63","7.4e-02","7.6e-02","7.5e-02","1.1e-02","1.7e-01"
"64","0.0e+00","0.0e+00","0.0e+00","1.1e-02","2.3e-02"
"65","2.2e-02","2.2e-02","2.2e-02","1.2e-02","8.2e-02"
"66","3.4e-01","3.4e-01","3.4e-01","1.9e-02","4.6e-01"
"67","0.0e+00","3.9e-04","2.5e-04","1.5e-02","3.2e-02"
"68","2.3e-02","2.3e-02","2.3e-02","1.6e-02","9.2e-02"
"69","3.3e-01","3.4e-01","3.4e-01","2.3e-02","4.6e-01"
"70","0.0e+00","3.0e-03","1.9e-03","3.8e-02","8.8e-02"
"71","2.4e-02","2.7e-02","2.6e-02","4.0e-02","1.4e-01"
"72","3.4e-01","3.5e-01","3.4e-01","4.7e-02","4.7e-01"
